sync_id;product;price;product_date;store;store_type;code1;libellé_COICOP1
4847;Macflury ;10;45452;Mac Donald's;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité
2285;Maillot de bain;25;45442;Decathlon;Sports et loisirs;03.1.2;Vêtements 
4688;Maillot de bain ;37.47;45452;Inter Sport;Sports et loisirs;03.1.2;Vêtements
7010;Mangue sechee;3.39;45462;Super U;Grande et petite surface alimentaire;01.1.6.7;Fruits séchés et déshydratés
7465;Marcel;24;45463;Amazon;Achat par internet, téléphone, correspondance;03.1.2;Vêtements 
7797;Massage;90;45465;Lôk siam spa;Ajout utilisateur;13.1.3.2;Soins personnels
4255;Materiel;34;45450;Leroy Merlin;Aménagement de l’habitat;04.3.2.0;Services d'entretien, de réparation et de sécurité du logement
5762;Mc donald;26.45;45455;Fast food;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité
7705;Mcdonalds;11;45464;Fast food;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité
1601;Medecin;45;45429;Médecin;Services de santé;06.2.3;Autres services de soins ambulatoires
1634;Medecin;16.6;45433;Médecin;Services de santé;06.2.3;Autres services de soins ambulatoires
4030;Médecin ;26.5;2024-06-01;Médecin;Services de santé;06.2;Services de soins ambulatoires
4027;Médicament ;9.5;45444;Pharmacie ;Ajout utilisateur;06.1.1;Médicaments 
3937;Mensuel;67.5;45448;Mutuelle;Organismes financiers;12.1.2.0;Assurances liées à la santé
7931;Menu flunch galette coca;10.99;45465;Flunch;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité
5629;Menu wings ;10;45455;Mcdonalds ;Ajout utilisateur;11.1.1.2;Restaurants, cafés et autres – à service limité
3855;Mozzarella ;5.5;45447;Monop;Grande et petite surface alimentaire;01.1.4.5.0;Fromage
4579;Mozzarella ;4;2024-06-07;Monoprix;Grande et petite surface alimentaire;01.1.4.5.0;Fromage
7604;Nichoir cube;51.98;45460;Ducatillon;Ajout utilisateur;09.3.2;Animaux de compagnie et produits pour animaux de compagnie 
5816;Nourriture;49;45456;Super U;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
6853;Nourriture;10.72;45455;Carrefour;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
6864;Nourriture;32;45459;Carrefour;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
3272;Nourriture ;26;45446;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
6512;Nourriture ;24.6;45453;Grand Frais;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
6518;Nourriture ;50.96;45453;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
3343;Objets de décoration ;60.26;45436;Jardiland;Aménagement de l’habitat;05.1.1.2;Mobilier de jardin et de camping
6157;Olives;10.24;45458;Marché;Marché, vente à domicile, automate;01.1.7.4.7;Olives, fraîches ou réfrigérées
5555;Ordure menagere;111.24;45455;Trésor Public;Services publics, services autoroutes, transport, télécommunication;04.4.2.0;Collecte des ordures
2963;Osteopathe;55;45444;Ostéopathe;Services de santé;06.2.3;Autres services de soins ambulatoires
8710;Ostéopathe;55;2024-06-21;Ostéopathe;Services de santé;06.2;Services de soins ambulatoires
3920;Ostéopathe ;65;45448;Ostéopathe;Services de santé;06.2.3.1;Services curatifs et de réadaptation ambulatoires
5126;Pack d eau ;2.2;45453;Leader Price;Grande et petite surface alimentaire;01.2.5.0;Eau
3199;Paillette;45.8;45446;Sisi la paillette;Ajout utilisateur;09.2.1.3;Articles de célébration
3785;Pain;2.4;45448;Boulangerie;Commerce de détail alimentaire;01.1.1.3.1;Pain
2964;Pain et gateau ;10;45444;Boulangerie;Commerce de détail alimentaire;01.1.1.3;Pain et produits de boulangerie (ND)
9640;Pain hamburger;0,899999976158142;2024-07-01;Leclerc;Grande et petite surface alimentaire;01.1.1.3.1;Pain
5617;Pain hamburger fromage ketchup jus salade steaks ;20.99;45455;Leader Price;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
7647;Pains;4.6;45465;Boulangerie;Commerce de détail alimentaire;01.1.1.3.1;Pain
3676;Pancarte maitresse;30;45447;Nuages et paillettes;Ajout utilisateur;09.7.4.0;Papeterie et matériel de dessin
5548;Panier animal;22;45455;Maxi Zoo;Aménagement de l’habitat;09.3.2.2;Produits pour animaux de compagnie et autres animaux domestiques
5980;Papier cadeau ;4;45457;Super U;Grande et petite surface alimentaire;09.7.4.0;Papeterie et matériel de dessin
4845;Papier toilette dentifrice soda pépite ;17.8;45452;Carrefour cluny ;Ajout utilisateur;98.1.2;Courses en supermarché
1131;Paquet de twins;2.5;45435;Noz;Grande et petite surface alimentaire;01.1.1.3.9.3;Biscuits et gâteaux
4481;Parapharmacie;49.2;45451;Pharmacie hibon ;Ajout utilisateur;06.1.1.1;Médicaments, vaccins et autres préparations pharmaceutiques
1972;Parc dattraction;197.61;45438;Disneyland;Services de loisirs, soins, animaux;09.4.6.1;Prestations sportives - practice
1984;Parc dattraction;197.61;45438;Disneyland;Services de loisirs, soins, animaux;09.4.6.1;Prestations sportives - practice
5111;Parc dattraction;54;45451;Parc attraction;Services de loisirs, soins, animaux;09.4.6.1;Services récréatifs et de loisirs 
1614;Parking;5.5;45429;Parking;Autres services, don;07.2.4.1;Services de stationnement
8749;Parking;3.2;2024-06-22;Parking;Autres services, don;07.2.4.1;Services de parkings et de stationnement (S)
8712;Parking;3;2024-06-24;Parking;Autres services, don;07.2.4.1;Services de parkings et de stationnement (S)
6658;Parti politique ;300;45460;Don argent;Autres services, don;99.1;Cadeaux
3855;Pâte feuilletée ;1.2;45447;Monop;Grande et petite surface alimentaire;01.1.1.9.0;Autres céréales et produits de minoterie
3907;Péage ;15.2;45448;Péage autoroute;Services publics, services autoroutes, transport, télécommunication;07.2.4.2;Installations de péage
4897;Péage ;12.7;2024-06-07;Vinci Autoroute;Services publics, services autoroutes, transport, télécommunication;07.2.4.2;Péages (S)
5819;Peignoir ;30;45456;Amazon;Achat par internet, téléphone, correspondance;03.1.2;Vêtements
