"Libelle";"Code"
"Autres sucres et succédanés du sucre (ND)";"01.1.8.2"
"Autres sucres et succédanés du sucre";"01.1.8.2.1"
"Confitures et marmelades, gelées, purées et pâtes de fruits, miel (ND)";"01.1.8.3"
"Confitures et marmelades, gelées, purées et pâtes de fruits, et miel";"01.1.8.3.1"
"Purées, beurres et pâtes de fruits à coque (ND)";"01.1.8.4"
"Purées, beurres et pâtes de fruits à coque";"01.1.8.4.1"
"Chocolat, cacao et produits alimentaires à base de cacao (ND)";"01.1.8.5"
"Chocolats en tablettes";"01.1.8.5.1"
"Confiseries à base de chocolat";"01.1.8.5.2"
"Cacao et produits alimentaires à base de cacao";"01.1.8.5.3"
"Glace, crème glacée et sorbets (ND)";"01.1.8.6"
"Glace, crème glacée et sorbets";"01.1.8.6.1"
"Autres confiseries et desserts n.c.a. (ND)";"01.1.8.9"
"Autres confiseries et desserts n.c.a.";"01.1.8.9.1"
"Plats préparés et autres produits alimentaires n.c.a (ND)";"01.1.9"
"Plats préparés (ND)";"01.1.9.1"
"Pizzas, quiches et plats préparés à base de céréales";"01.1.9.1.1"
"Plats préparés à base de pâtes";"01.1.9.1.2"
"Plats préparés à base de viande";"01.1.9.1.3"
"Plats préparés à base de poisson ou de fruits de mer";"01.1.9.1.4"
"Plats préparés à base de légumes";"01.1.9.1.5"
"Potages préparés";"01.1.9.1.6"
"Plats préparés n.c.a";"01.1.9.1.9"
"Aliments pour nourrissons (ND)";"01.1.9.2"
"Aliments pour nourrissons";"01.1.9.2.1"
"Sel, condiments et sauces (ND)";"01.1.9.3"
"Condiments et sauces";"01.1.9.3.1"
"Sel";"01.1.9.3.2"
"Épices, herbes aromatiques et graines alimentaires (ND)";"01.1.9.4"
"Épices, herbes et graines culinaires";"01.1.9.4.1"
"Autres produits alimentaires n.c.a. (ND)";"01.1.9.9"
"Produits diététiques";"01.1.9.9.1"
"Desserts, produits pour pâtisserie et autres produits alimentaires n.c.a.";"01.1.9.9.9"
"Boissons non alcoolisées";"01.2"
"Jus de fruits et de légumes (ND)";"01.2.1"
"Jus de fruits et de légumes (ND)";"01.2.1.0"
"Jus de fruits et de légumes";"01.2.1.0.1"
"Café et succédanés de café (ND)";"01.2.2"
"Café et succédanés de café (ND)";"01.2.2.0"
"Café en grains ou moulu";"01.2.2.0.1"
"Café soluble et succédanés de café";"01.2.2.0.2"
"Thé, maté et autres produits d’origine végétale pour infusion (ND)";"01.2.3"
"Thé, maté et autres produits d’origine végétale pour infusion (ND)";"01.2.3.0"
"Thé et infusion";"01.2.3.0.1"
"Thé glacé";"01.2.3.0.2"
"Boissons à base de cacao (ND)";"01.2.4"
"Boissons à base de cacao (ND)";"01.2.4.0"
"Boissons à base de cacao";"01.2.4.0.1"
"Eau (ND)";"01.2.5"
"Eau (ND)";"01.2.5.0"
"Eau";"01.2.5.0.1"
"Boissons gazeuses (ND)";"01.2.6"
"Boissons gazeuses (ND)";"01.2.6.0"
"Boissons gazeuses";"01.2.6.0.1"
"Autres boissons non alcoolisées (ND)";"01.2.9"
"Autres boissons non alcoolisées (ND)";"01.2.9.0"
"Eau aromatisée";"01.2.9.0.1"
