libelle;code;url;description;comprend;ne_comprend_pas
Services dentaires ambulatoires (S);06.2.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/06.2.2;;"services des dentistes, praticiens de l'art dentaire, chirurgiens-dentistes et endodontistes ; chirurgiens buccaux et maxillo-faciaux, pathologistes buccaux, orthodontistes, pédodontistes, parodontistes, prosthodontistes, et hygiénistes buccaux et autres auxiliaires dentaires qui ne nécessitent pas de séjour d'une nuit services dentaires esthétiques";tous les produits de santé (par exemple, produits d'assistance, produits médicaux, produits pharmaceutiques et produits thérapeutiques) nécessaires à la prestation de services dentaires ambulatoires dont le prix est distinct de celui du service du prestataire ( 06.1 services des laboratoires médicaux effectuant des tests analytiques et des centres d'imagerie diagnostique tarifés séparément des services dentaires reçus ( 06.4.1.0
Services dentaires préventifs (S);06.2.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/06.2.2.1;;examens dentaires préventifs de routine;
Autres services dentaires ambulatoires (S);06.2.2.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/06.2.2.9;;tous autres services dentaires ne nécessitant pas une nuitée (à l'exclusion des services dentaires préventifs) tous frais concernant les prothèses dentaire (y compris les coûts d’ajustement) services dentaires esthétiques;tous les produits de santé (par exemple, produits d'assistance, produits médicaux, produits pharmaceutiques et produits thérapeutiques) nécessaires à la prestation de services dentaires ambulatoires dont le prix est distinct de celui du service du prestataire ( 06.1 services des laboratoires médicaux effectuant des tests analytiques et des centres d'imagerie diagnostique tarifés séparément des services dentaires reçus ( 06.4.1.0
Autres services de soins ambulatoires (S);06.2.3;https://www.insee.fr/fr/metadonnees/coicop2018/classe/06.2.3;") ; à réduire la gravité des maladies et des blessures ( ) ; à protéger contre l'exacerbation ou les complications des maladies et des blessures (06. 2.3.1) ; protéger contre l'exacerbation ou les complications des maladies, affections et lésions ( ) ; rétablir l'état de santé ( ) ; ou prévenir la détérioration d'un état de santé ou maintenir le niveau de santé disponible ( Les critères d'admission et le type de prestataire, ainsi que le cadre dans lequel ces services de soins curatifs et de réadaptation et les services de soins de longue durée ambulatoires sont fournis, ne sont pas pertinents tant qu'aucun soin de nuit n'est administré.";"services dispensés dans les hôpitaux ou en milieu hospitalier sans nuitée (à l'exclusion des services de prévention ( 06.2.1 ) et soins dentaires ambulatoires ( 06.2.2 services de soins médicaux de jour, c'est-à-dire les services fournis en milieu hospitalier (parfois dans des centres de soins médicaux de jour) à un patient officiellement admis, pour autant qu'ils n'impliquent pas un séjour d'une nuit traitements hospitaliers à domicile (par exemple, dialyse) ( 06.2.3.2 ) ; services médicaux à domicile (par exemple, soins palliatifs) ( 06.2.3.2 ) ; services médicaux et infirmiers destinés à maintenir les personnes à leur domicile privé, y compris les personnes âgées et les personnes handicapées ( 06.2.3.2 ) ; soins infirmiers à domicile, y compris les soins visant à retarder ou à réduire la détérioration ou à maintenir la fonctionnalité (par exemple, alimentation par voie nasogastrique) ou à gérer les maladies chroniques ( 06.2.3.2 services dispensés dans des centres de consultation individuels (par exemple, en cabinet privé) ou collectifs (à l'exclusion des services préventifs ( 06.2.1 ) et dentaires ( 06.2.2 )) par tout type de prestataire (médecins, infirmières, spécialistes ou autres praticiens de santé) services médicaux dispensés dans la rue (par exemple, à destination des sans-domiciles) ainsi que tous autres services ambulatoires dispensés en dehors d'un établissement hospitalier tous produits de santé (par exemple, produits d'assistance, médicaux, pharmaceutiques et thérapeutiques), services d'imagerie diagnostique et services de laboratoire médical nécessaires à la prestation de services ambulatoires qui ne sont pas tarifés séparément des services du prestataire (spécialiste, médecin, infirmier ou autre type de praticien de la santé)";médicaments et produits de santé (médicaux, d'assistance) facturés séparément des honoraires du prestataire (médecin, infirmier, spécialiste et autre praticien de santé) ( 06.1 services de prévention ( 06.2.1 services dentaires ambulatoires ( 06.2.2 services d'imagerie diagnostique et services de laboratoire médical séparément identifiables à partir des honoraires du prestataire (médecin/infirmier spécialisé et autre praticien de santé) ( 06.4.1.0 services de transport d'urgence des patients et les secours d'urgence ( 06.4.2.0
Services de soins curatifs et de réadaptation ambulatoires (S);06.2.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/06.2.3.1;"comprend les services curatifs et de réadaptation qui ne nécessitent pas de séjour d'une nuit. Les soins curatifs comprennent les contacts de soins de santé dont l'objectif principal est de soulager les symptômes des maladies et des blessures, de réduire la gravité des maladies et des blessures ou de protéger contre l'exacerbation ou les complications des maladies et des blessures qui pourraient menacer la vie ou les fonctions normales. Les services de soins curatifs visent à rétablir l'état de santé du patient tel qu'il existait avant que la prestation de ces services ne soit jugée nécessaire. L'objectif de la réadaptation est de permettre d'atteindre et de maintenir un fonctionnement optimal. La réadaptation peut, dans certains cas, améliorer l'état de santé d'un patient ; dans d'autres cas, elle peut seulement empêcher sa détérioration.";"tous éléments des soins curatifs d'une maladie et du traitement d'une blessure, chirurgie pratiquée, procédures diagnostiques et thérapeutiques, et services obstétriques, pour autant qu'ils n'impliquent pas un séjour d'une nuit soins curatifs et de réadaptation en ambulatoire, quel que soit le type de prestataire, spécialiste, médecin ou autre professionnel de santé (par exemple, infirmières ou sages-femmes) services curatifs et de réadaptation en ambulatoire fournis dans n'importe quel cadre, tel que hôpitaux sans nuitée, centres de consultation individuels (par exemple, cabinet privé) ou collectifs, à domicile ou dans tout autre cadre en dehors de l'hôpital, y compris dans la rue kinésithérapie, psychologie et orthophonie, y compris services des chiropracteurs ; physiothérapeutes et kinésithérapeutes ; orthophonistes ; audiologistes ; inhalothérapeutes et thérapeutes respiratoires entre autres tous produits de santé (par exemple, pharmaceutiques, médicaux, d'assistance, thérapeutiques) nécessaires à la fourniture de services curatifs et réhabilitatifs en ambulatoire qui sont facturés sur les honoraires du prestataire (par exemple, spécialiste, médecin, infirmier ou autre professionnel de santé)";médicaments et produits de santé (médicaux, d'assistance) facturés séparément des honoraires du prestataire (par exemple spécialiste, médecin, infirmier ou autre professionnel de santé) ( 06.1 services de soins de prévention ( 06.2.1 services dentaires ambulatoires ( 06.2.2 services d'imagerie diagnostique et services de laboratoire médical facturés séparément des honoraires du prestataire (spécialiste, médecin, infirmier ou autre professionnel de santé) ( 06.4.1.0 services de transport d'urgence des patients et les secours d'urgence ( 06.4.2.0
Services de soins de longue durée ambulatoires (S);06.2.3.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/06.2.3.2;L'objectif des services ambulatoires de soins de longue durée n'est pas de guérir une maladie ou de réhabiliter un individu, mais plutôt de prévenir la détérioration de l'état de santé de l'individu et de le maintenir ainsi à un niveau disponible. Des services médicaux et infirmiers spécifiques contribuent de manière inhérente à ce type de statu quo. Les personnes susceptibles de recevoir des soins de longue durée ambulatoires sont les personnes âgées dont la capacité à accomplir les activités quotidiennes est limitée, les membres du ménage souffrant d'un handicap physique et les personnes atteintes d'une maladie chronique.;services fournis par des centres médicaux de jour, y compris services pour personnes âgées et personnes handicapées traitements en milieu hospitalier, dispensés dans le cadre de soins de longue durée à domicile, qui n'entraînent pas de nuitée (par exemple, dialyse) services médicaux et infirmiers destinés à maintenir les personnes (y compris les personnes âgées et les personnes handicapées) à leur domicile soins infirmiers dispensés à domicile, y compris les soins visant à retarder ou à réduire la détérioration ou à maintenir la fonctionnalité (par exemple, alimentation nasogastrique) et à gérer les maladies chroniques (par exemple, administration des médicaments psychiatriques prescrits) services non médicaux dispensés pour maintenir les personnes à leur domicile, qui sont intégrés dans un ensemble de soins et font l'objet d'une facturation conjointe tous produits de santé (par exemple, d’assistance, médicaux, pharmaceutiques et thérapeutiques), services d'imagerie diagnostique et services de laboratoire médical nécessaires pour fournir des services ambulatoires facturés conjointement avec les honoraires du prestataire (spécialiste, médecin, infirmier ou autre professionnel de santé);"médicaments et produits de santé (médicaux, d'assistance) facturés séparément des honoraires du prestataire (spécialiste, médecin, infirmier ou autre professionnel de santé) ( 06.1 services d'imagerie diagnostique et services de laboratoire médical facturés séparément sur les honoraires du prestataire (spécialiste, médecin, infirmier ou autre professionnel de santé) ( 06.4.1.0 services de transport d'urgence des patients et de secours d'urgence ( 06.4.2.0 services d'assistance sociale y compris soins permettant à une personne de vivre de manière indépendante dans une maison ou un appartement ; activités communautaires et de loisir ; soutien professionnel apportés de manière continue ou récurrente ( 13.3.0.3"
Services de soins hospitaliers;06.3;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/06.3;La principale distinction entre les services de soins ambulatoires ( ) et les services de soins hospitaliers ( ) repose sur la nécessité ou non d'un séjour d'une nuit. Le type de prestataire n'est pas pertinent : il peut s'agir d'un hôpital, d'un établissement de soins infirmiers ou d'un établissement qui, tout en étant classé comme prestataire de soins ambulatoires, effectue occasionnellement des procédures nécessitant une nuitée.;services de soins hospitaliers comprenant les traitements et/ou les soins, y compris soins dentaires, qui nécessitent un séjour d'une nuit tous services médicaux nécessaires à la fourniture des prestations de soins hospitaliers pendant la nuit, même s'ils sont facturés séparément (par exemple, analyses de laboratoire, services d'imagerie diagnostique) médicaments et produits de santé (médicaux, d'assistance) nécessaires à la prestation des services d'hospitalisation pendant la nuit, même s'ils sont facturés séparément soins de beauté effectués dans les hôpitaux (par exemple, chirurgie esthétique, autre chirurgie reconstructive);"soins hospitaliers de jour sans nuité (avec ou sans admission) et traitements hospitaliers à domicile ( 06.2 services fournis dans un hôpital ou un établissement hospitalier sans nuitée ( 06.2 ), y compris services des établissements, tels que cabinets médicaux, cliniques et dispensaires, consacrés exclusivement aux soins ambulatoires ( 06.2 services de transport d'urgence des patients et de secours d'urgence ( 06.4.2.0 services fournis par les maisons de retraite non médicalisées pour personnes âgées ; les institutions non médicalisées pour personnes handicapées ; les centres de réadaptation non médicalisés fournissant principalement un soutien social à long terme ; et les villages de retraite sans services médicaux hospitaliers ( 13.3.0.2"
Services de soins curatifs et de réadaptation hospitaliers (S);06.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/06.3.1;;"tous services médicaux nécessaires pour fournir des services de soins aux patients hospitalisés pendant la nuitée, même s'ils sont facturés séparément (par exemple, tests de laboratoire, services d'imagerie diagnostique) médicaments et produits de santé (médicaux, d'assistance) nécessaires à la prestation de services aux patients hospitalisés pendant la nuit, même s'ils sont facturés séparément services d'hébergement des patients, y compris service des repas et nettoyage, même s'ils sont facturés séparément des services de soins hospitaliers ; et hébergement des proches du patient, s'il est indispensable, même s'il est facturé séparément soins de beauté effectués dans les hôpitaux (par exemple, chirurgie esthétique, autre que chirurgie reconstructive)";"soins hospitaliers de jour (avec ou sans admission mais sans nuitée) et traitements hospitaliers à domicile ( 06.2 services reçus dans des hôpitaux ou des établissements hospitaliers sans nuitée ( 06.2 ), y compris les services des établissements, tels que cabinets médicaux, cliniques et dispensaires, consacrés exclusivement aux soins ambulatoires ( 06.2 services de transport d’urgence des patients et de secours d'urgence ( 06.4.2.0 services fournis par les maisons de retraite non médicalisées pour personnes âgées ; les institutions non médicalisées pour personnes handicapées ; les centres de réadaptation non médicalisés fournissant principalement un soutien social à long terme ; et les villages de retraite sans services médicaux hospitaliers ( 13.3.0.2"
Services de soins curatifs et de réadaptation hospitaliers (S);06.3.1.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/06.3.1.0;;"tous services médicaux nécessaires pour fournir des services de soins aux patients hospitalisés pendant la nuitée, même s'ils sont facturés séparément (par exemple, tests de laboratoire, services d'imagerie diagnostique) médicaments et produits de santé (médicaux, d'assistance) nécessaires à la prestation de services aux patients hospitalisés pendant la nuit, même s'ils sont facturés séparément services d'hébergement des patients, y compris service des repas et nettoyage, même s'ils sont facturés séparément des services de soins hospitaliers ; et hébergement des proches du patient, s'il est indispensable, même s'il est facturé séparément soins de beauté effectués dans les hôpitaux (par exemple, chirurgie esthétique, autre que chirurgie reconstructive)";"soins hospitaliers de jour (avec ou sans admission mais sans nuitée) et traitements hospitaliers à domicile ( 06.2 services reçus dans des hôpitaux ou des établissements hospitaliers sans nuitée ( 06.2 ), y compris les services des établissements, tels que cabinets médicaux, cliniques et dispensaires, consacrés exclusivement aux soins ambulatoires ( 06.2 services de transport d’urgence des patients et de secours d'urgence ( 06.4.2.0 services fournis par les maisons de retraite non médicalisées pour personnes âgées ; les institutions non médicalisées pour personnes handicapées ; les centres de réadaptation non médicalisés fournissant principalement un soutien social à long terme ; et les villages de retraite sans services médicaux hospitaliers ( 13.3.0.2"
Services de soins de longue durée hospitaliers (S);06.3.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/06.3.2;;"L'objectif des services de soins de longue durée pour patients hospitalisés n'est pas de guérir une maladie ou de réhabiliter un individu, mais plutôt de prévenir la détérioration de l'état de santé de l'individu et de le maintenir ainsi à un niveau disponible. Des services médicaux et infirmiers spécifiques contribuent de manière inhérente à ce type de statu quo. Les personnes qui reçoivent des soins de longue durée en milieu hospitalier sont des personnes âgées dont la capacité à accomplir les activités quotidiennes est limitée, des membres du ménage physiquement handicapés et des personnes souffrant de maladies chroniques. services fournis par les maisons de convalescence médicales et les hôpitaux de convalescence ; les maisons pour personnes âgées offrant des soins infirmiers ; les hospices pour malades hospitalisés services d'établissements de soins palliatifs pour les malades en phase terminale services de maisons de soins infirmiers ; maisons de repos avec soins infirmiers services d'établissements de soins infirmiers qualifiés ; services de maisons de soins infirmiers pédagogiques services d'établissements résidentiels pour handicapés mentaux ; et établissements de santé mentale et d'abus de substances pour patients chroniques (par exemple, personnes atteintes de démence) services des maisons de retraite médicalisées pour personnes âgées et des résidences médicalisées pour personnes handicapées tous services médicaux nécessaires pour fournir des services de soins aux patients hospitalisés pendant la nuit (par exemple, tests de laboratoire, services d'imagerie diagnostique) médicaments et produits de santé (médicaux, d'assistance, thérapeutiques) nécessaires à la prestation de services d'hospitalisation pendant la nuit";services de protection sociale ( 13.3 maisons de retraite non médicalisées pour personnes âgées et résidences non médicalisées pour personnes handicapées ( 13.3.0.2
Services de soins de longue durée hospitaliers (S);06.3.2.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/06.3.2.0;;"L'objectif des services de soins de longue durée pour patients hospitalisés n'est pas de guérir une maladie ou de réhabiliter un individu, mais plutôt de prévenir la détérioration de l'état de santé de l'individu et de le maintenir ainsi à un niveau disponible. Des services médicaux et infirmiers spécifiques contribuent de manière inhérente à ce type de statu quo. Les personnes qui reçoivent des soins de longue durée en milieu hospitalier sont des personnes âgées dont la capacité à accomplir les activités quotidiennes est limitée, des membres du ménage physiquement handicapés et des personnes souffrant de maladies chroniques. services fournis par les maisons de convalescence médicales et les hôpitaux de convalescence ; les maisons pour personnes âgées offrant des soins infirmiers ; les hospices pour malades hospitalisés services d'établissements de soins palliatifs pour les malades en phase terminale services de maisons de soins infirmiers ; maisons de repos avec soins infirmiers services d'établissements de soins infirmiers qualifiés services de maisons de soins infirmiers pédagogiques services d'établissements résidentiels pour handicapés mentaux ; et établissements de santé mentale et d'abus de substances pour patients chroniques (par exemple, personnes atteintes de démence) services des maisons de retraite médicalisées pour personnes âgées et des résidences médicalisées pour personnes handicapées tous services médicaux nécessaires pour fournir des services de soins aux patients hospitalisés pendant la nuit (par exemple, tests de laboratoire, services d'imagerie diagnostique) médicaments et produits de santé (médicaux, d'assistance, thérapeutiques) nécessaires à la prestation de services d'hospitalisation pendant la nuit";services de protection sociale ( 13.3 maisons de retraite non médicalisées pour personnes âgées et résidences non médicalisées pour personnes handicapées ( 13.3.0.2
Autres services de santé;06.4;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/06.4;;médicaments et produits de santé (médicaux, d'assistance, thérapeutiques) nécessaires à la prestation de services d'hospitalisation pendant la nuit;
Services d’imagerie diagnostique et de laboratoires d’analyses médicales (S);06.4.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/06.4.1;;services fournis par les laboratoires d'analyses médicales (par exemple, analyses d'urine et de sang) services d'imagerie diagnostique pour le diagnostique et le contrôle des patients, y compris toutes les méthodes d'imagerie diagnostique (par exemple, tomographie (CT), imagerie par résonance magnétique (IRM), sonographie et rayons-X et irradiation);services d'imagerie diagnostique et services de laboratoire médical qui ne sont pas facturés séparément des services soins préventifs ambulatoires ( 06.2.1
Services d’imagerie diagnostique et de laboratoires d’analyses médicales (S);06.4.1.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/06.4.1.0;;"services fournis par les laboratoires d'analyses médicales (par exemple, analyses d'urine et de sang) services d’imagerie diagnostique, incluant toutes les méthodes d’imagerie diagnostique (c.-à-d. scanner, IRM, échographie) ; le diagnostic par imagerie comprend une variété de services utilisant la technologie d’imagerie, tels que les radiographies et les rayonnements, pour le diagnostic et le suivi des patients.";services d'imagerie diagnostique et services de laboratoire médical qui ne sont pas facturés séparément des services soins préventifs ambulatoires ( 06.2.1
Services de transport d’urgence des patients et de secours d’urgence (S);06.4.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/06.4.2;;services d'ambulance pour les personnes, avec ou sans sauvetage d'urgence transport médical d’urgence par avion ou d’autres types de véhicules, qu'ils aient été ou non spécialement adaptés à des fins médicales adhésions aux services de transport d'urgence;
Services de transport d’urgence des patients et de secours d’urgence (S);06.4.2.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/06.4.2.0;;services d'ambulance pour les personnes, avec ou sans sauvetage d'urgence transport médical d’urgence par avion ou d’autres types de véhicules, qu'ils aient été ou non spécialement adaptés à des fins médicales adhésions aux services de transport d'urgence;
Transports;07;https://www.insee.fr/fr/metadonnees/coicop2018/division/07;, les biens et services destinés au transport sont classés en quatre catégories principales : achat de véhicules ( ), biens et services liés à l'exploitation d'équipements de transport personnel ( ), services de transport de passagers ( ) et services de transport de marchandises (;Les services de transport de voyageurs ( 07.3 07.3.6 07.4 couvre les services postaux et de messagerie, ainsi que les services de déménagement et d'entreposage et les services de livraison de tous types de marchandises, s'ils sont tarifés séparément. ne couvre toutefois pas les achats de véhicules de loisirs, tels que les camping-cars, les caravanes, les remorques, les avions et les bateaux ( 09.1.2;
Achats de véhicules;07.1;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/07.1;;achat de véhicules utilisés pour le transport;achat de véhicules de loisirs, tels que camping-cars, caravanes, remorques, avions et bateaux ( 09.1.2
Automobiles (D);07.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/07.1.1;;voitures, fourgonnettes, breaks, véhicules de sport utilitaires (SUV), véhicules tout-terrain, camionnettes et autres véhicules similaires à deux ou quatre roues motrices véhicules automobiles de course et véhicules d'exposition;voitures pour invalides ( 06.1.3.3 camping-cars ( 09.1.2.1 voiturettes de golf ( 09.1.2.9
Automobiles neuves (D);07.1.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.1.1.1;;voitures, fourgonnettes, breaks, véhicules de sport utilitaires (SUV), véhicules tout-terrain, camionnettes et autres véhicules similaires à deux ou quatre roues motrices véhicules automobiles de course et véhicules d'exposition;voitures pour invalides ( 06.1.3.3 camping-cars ( 09.1.2.1 voiturettes de golf ( 09.1.2.9
Automobiles d’occasion (D);07.1.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.1.1.2;;voitures, fourgonnettes, breaks, véhicules de sport utilitaires (SUV), véhicules tout-terrain, camionnettes et autres véhicules similaires à deux ou quatre roues motrices véhicules automobiles de course et véhicules d'exposition;voitures pour invalides ( 06.1.3.3 camping-cars ( 09.1.2.1 voiturettes de golf ( 09.1.2.9
Motocycles (D);07.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/07.1.2;;motocycles de tous types y compris ceux à moteurs électriques scooters, mobylettes et bicyclettes motorisées à moteur à combustion side-cars motocycles d'occasion motos-neige;vélos électriques (e-bikes), pédalos ( 07.1.3.0
Motocycles (D);07.1.2.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.1.2.0;;motocycles de tous types y compris ceux à moteurs électriques scooters, mobylettes et bicyclettes motorisées à moteur à combustion side-cars motocycles d'occasion motos-neige;vélos électriques (e-bikes), pédalos ( 07.1.3.0
Bicyclettes (D);07.1.3;https://www.insee.fr/fr/metadonnees/coicop2018/classe/07.1.3;;bicyclettes, tricycles et autres cycles vélos pousse-pousse vélos électriques (e-bikes), et pédalos trottinettes électriques;bicyclettes motorisées à moteur à combustion ( 07.1.2.0 bicyclettes jouets et tricycles jouets ( 09.2.1.2
Bicyclettes (D);07.1.3.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.1.3.0;;bicyclettes, tricycles et autres cycles vélos pousse-pousse vélos électriques (e-bikes), et pédalos trottinettes électriques;bicyclettes motorisées à moteur à combustion ( 07.1.2.0 bicyclettes jouets et tricycles jouets ( 09.2.1.2
Véhicules à traction animale (D);07.1.4;https://www.insee.fr/fr/metadonnees/coicop2018/classe/07.1.4;;véhicules à traction animale animaux utilisés pour tirer les véhicules et l'équipement connexe (par exemple, jougs, colliers, harnais, brides, rênes, etc.);chevaux et poneys, véhicules de loisirs tirés par des chevaux ou des poneys et équipements connexes ( 09.1.2.4
Véhicules à traction animale (D);07.1.4.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.1.4.0;;véhicules à traction animale animaux utilisés pour tirer les véhicules et l'équipement connexe (par exemple, jougs, colliers, harnais, brides, rênes, etc.);chevaux et poneys, véhicules de loisirs tirés par des chevaux ou des poneys et équipements connexes ( 09.1.2.4
Dépenses d’utilisation des véhicules;07.2;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/07.2;;;
Pièces et accessoires pour véhicules personnels (SD);07.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/07.2.1;;"pneus (neufs, usagés ou rechapés), chambres à air, bougies d'allumage, batteries, amortisseurs, filtres, pompes et autres pièces de rechange ou accessoires pour les équipements de transport personnel enjoliveurs, s'ils sont achetés séparément sièges bébés et enfants pour voitures, motocycles et bicyclettes casques de protection pour cyclistes et motocyclistes extincteurs pour les équipements de transport produits spécifiquement destinés au nettoyage et à l'entretien du matériel de transport, tels que peintures, nettoyants pour chrome, produits d'étanchéité et polis pour carrosserie ; housses pour automobiles, motocyclettes, etc caméras pour tableau de bord chargeurs pour véhicules électriques casques de protection avec caméra intégrée";produits non spécifiques utilisés pour le nettoyage et l'entretien, tels que eau distillée, éponges ménagères, peaux de chamois et détergents ( 05.6.1.1 services achetés pour le montage des pièces et accessoires, la peinture, le lavage et le polissage de la carrosserie ( 07.2.3.0 systèmes audio et vidéo pour voitures ( 08.1.4.0
Pneus (SD);07.2.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.2.1.1;;chambres à air neuves, usagées ou rechapées, y compris chambres à air pour voitures, bicyclettes, motos, etc.;
Pièces pour véhicules personnels (SD);07.2.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.2.1.2;;bougies d'allumage, batteries, amortisseurs, filtres, pompes et autres pièces pour les équipements de transport personnel jantes;services achetés pour le montage des pièces et accessoires, la peinture, le lavage et le polissage de la carrosserie ( 07.2.3.0
Accessoires pour véhicules personnels (SD);07.2.1.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.2.1.3;;"chaînes à neige, barres de toit, coffres de toit extincteurs pour matériel de transport produits spécifiquement destinés au nettoyage et à l'entretien du matériel de transport, tels que peintures, nettoyants pour chrome, produits d'étanchéité et polis pour carrosserie ; housses pour automobiles, motocyclettes, etc enjoliveurs, s'ils sont achetés séparément casques de protection pour motocycles et bicyclettes sièges bébés et enfants pour voitures, motocyles et bicyclettes caméras de surveillance chargeurs pour véhicules électriques tenues, chaussures et autres accessoires pour cyclistes casques de protection avec caméra intégrée";produits non spécifiques utilisés pour le nettoyage et l'entretien, tels que eau distillée, éponges ménagères, peaux de chamois et détergents ( 05.6.1.1 systèmes audio et vidéo pour voitures ( 08.1.4.0
Casque de protection;07.2.1.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/07.2.1.3.1;;casques de protection pour motocycles et bicyclettes casques de protection avec caméra intégrée;
Siège-auto pour bébé;07.2.1.3.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/07.2.1.3.2;;sièges bébés et enfants pour voitures, motocyles et bicyclettes;
Accessoires divers pour véhicules;07.2.1.3.3;https://www.insee.fr/fr/metadonnees/coicop2018/poste/07.2.1.3.3;;;
Carburants et lubrifiants pour véhicules personnels (ND);07.2.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/07.2.2;;essence et autres carburants, tels que diesel, gaz de pétrole liquéfié (GPL), alcool et mélanges à deux temps lubrifiants, liquides de frein et de transmission, liquides de refroidissement et additifs électricité utilisée comme carburant pour les véhicules personnels, lorsqu'elle est vendue séparément des autres types d'électricité hydrogène 05.5.1 09.1.2;services achetés pour les vidanges d'huile et le graissage ( 07.2.3.0
Gazole (ND);07.2.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.2.2.1;;carburant diesel;
Essence (ND);07.2.2.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.2.2.2;;essence mélanges d’essence (par exemple, essence contenant 10 % d'éthanol);mélanges à deux temps ( 07.2.2.3
Autres carburants pour véhicules personnels (ND);07.2.2.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.2.2.3;;gaz de pétrole liquéfié (GPL), gaz naturel (gaz naturel compressé (GNC)), gaz naturel liquefié (GNL), alcool, biocarburants (éthanol, méthanol), méthane et mélanges à deux temps électricité utilisée comme carburant pour véhicules personnels lorsqu’elle est vendue séparément des autres types d'électricité hydrogène;
Lubrifiants (ND);07.2.2.4;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.2.2.4;;lubrifiants, liquides de frein et de transmission, liquides de refroidissement et additifs;services achetés pour les vidanges d'huile et le graissage ( 07.2.3.0
Entretien et réparation de véhicules personnels (S);07.2.3;https://www.insee.fr/fr/metadonnees/coicop2018/classe/07.2.3;Le coût des matériaux n'est inclus que si les matériaux ne sont pas facturés séparément.;services achetés pour l'entretien et la réparation d'équipements de transport personnel, tels que montage de pièces et d'accessoires, changement de pneus, équilibrage des roues, services de dépannage, vidanges, graissage et lavage installation de caméras pour voitures services de serrurerie pour voitures;pièces détachées, accessoires ou lubrifiants achetés par les ménages dans l'intention de procéder eux-mêmes à l'entretien ou à la réparation (07.2.1, 07.2.2.4) contrôle technique ( 07.2.4.3
Entretien et réparation de véhicules personnels (S);07.2.3.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/07.2.3.0;Le coût des matériaux n'est inclus que si les matériaux ne sont pas facturés séparément.;services achetés pour l'entretien et la réparation d'équipements de transport personnel, tels que montage de pièces et d'accessoires, changement de pneus, équilibrage des roues, services de dépannage, vidanges, graissage et lavage installation de caméras pour voitures services de serrurerie pour voitures;pièces détachées, accessoires ou lubrifiants achetés par les ménages dans l'intention de procéder eux-mêmes à l'entretien ou à la réparation (07.2.1, 07.2.2.4) contrôle technique ( 07.2.4.3
Entretien de véhicules particuliers;07.2.3.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/07.2.3.0.1;;services achetés pour l'entretien d'équipements de transport personnel, tels que montage de pièces et d'accessoires, changement de pneus, équilibrage des roues, services de dépannage, vidanges, graissage et lavage installation de caméras pour voitures services de serrurerie pour voitures le coût des matériaux/pièces si ils ne sont pas facturés séparément;pièces détachées, accessoires ou lubrifiants achetés par les ménages dans l'intention de procéder eux-mêmes à l'entretien ou à la réparation (07.2.1, 07.2.2.4) contrôle technique ( 07.2.4.3
