libelle;code;url;description;comprend;ne_comprend_pas
Autres fruits de mer séchés, salés, en saumure ou fumés;01.1.3.5.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.3.5.1;, séchés, salés, en saumure ou fumés.;;
Autres préparations à base de fruits de mer (ND);01.1.3.6;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.3.6;, congelés ou non.;;
Autres préparations à base de fruits de mer;01.1.3.6.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.3.6.1;, congelés ou non.;;
Foies, œufs et laitances, et autres abats de poissons et d’autres fruits de mer sous toutes leurs formes (ND);01.1.3.7;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.3.7;toutes leurs formes (ND);farines, foies, œufs et laitances, nageoires, mâchoires et autres abats sous toutes leurs formes, frais, réfrigérés, surgelés, séchés, salés, en saumure ou fumés, préparés ou en conserve;algues et autres plantes aquatiques ( 01.1.7.4
Foies, œufs et laitances, et autres abats de poissons et d’autres fruits de mer sous toutes leurs formes;01.1.3.7.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.3.7.1;toutes leurs formes (ND) toutes leurs formes;farines, foies, œufs et laitances, nageoires, mâchoires et autres abats sous toutes leurs formes, frais, réfrigérés, surgelés, séchés, salés, en saumure ou fumés, préparés ou en conserve;algues et autres plantes aquatiques ( 01.1.7.4
Lait, autres produits laitiers et œufs (ND);01.1.4;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.1.4;;;
Lait cru et entier (ND);01.1.4.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.4.1;Lait cru et entier de bovins et de bufflonnes, de brebis et de chèvres, de chamelles et d'autres animaux, frais, pasteurisé, stérilisé (UHT) or reconstitué.;;lait et crème caillés, fermentés ou acidifiés ( 01.1.4.6
Lait cru et entier;01.1.4.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.1.1;Lait cru et entier de bovins et de bufflonnes, de brebis et de chèvres, de chamelles et d'autres animaux, frais, pasteurisé, stérilisé (UHT) or reconstitué.;;lait et crème caillés, fermentés ou acidifiés ( 01.1.4.6
Lait écrémé (ND);01.1.4.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.4.2;Lait écrémé et demi-écrémé de bovins et de bufflonnes, de brebis et de chèvres, de chameaux et d'autres animaux.;;
Lait écrémé;01.1.4.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.2.1;Lait écrémé et demi-écrémé de bovins et de bufflonnes, de brebis et de chèvres, de chameaux et d'autres animaux.;;
Autres laits et crèmes (ND);01.1.4.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.4.3;Autres laits et crèmes de tous les animaux.;lait en poudre, entier ou écrémé lait concentré crème fraîche, épaisse ou fouettée lait cuit;boissons aromatisées au cacao, au café ou à d'autres substances ( 01.1.4.7 lait condensé, évaporé et en poudre utilisé comme aliment pour bébés ( 01.1.9.2
Lait longue conservation, en poudre ou concentré;01.1.4.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.3.1;;lait en poudre, entier ou écrémé lait concentré lait cuit;boissons aromatisées au cacao, au café ou à d'autres substances ( 01.1.4.7 lait condensé, évaporé et en poudre utilisé comme aliment pour bébés ( 01.1.9.2
Crème fraîche et autres crèmes;01.1.4.3.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.4.3.2;;crème fraîche, épaisse ou fouettée;
