tri;type;parent;code;label_en;label_fr;note_generale_en;note_generale_fr;contenu_central_en;contenu_central_fr;contenu_additionnel_en;contenu_additionnel_fr;note_exclusion_en;note_exclusion_fr;;;
21;Classe;01.1;01.1.2;Live animals, meat and other parts of slaughtered land animals (ND);Animaux vivants, viandes et autres parties d’animaux terrestres abattus (ND);;;;;;;;;;;
22;Sous-classe;01.1.2;01.1.2.1;Live land animals (ND);Animaux terrestres vivants (ND);Live land animals, both domestic and wild, for human consumption as food.;Animaux terrestres vivants, domestiques ou sauvages, destinés à l'alimentation humaine.;"— cattle (cows; calves; common ox, zebu or humped ox; watusi, gaur, gayal, banteng and yak)
— buffaloes (Indian or water buffaloes; arnis, or Asiatic buffaloes; Celebes anoas, or pygmy buffaloes; African buffaloes, such as the dwarf buffalo and the large Caffrarian buffalo; American bisons, known simply as buffaloes; European bisons; and beefaloes (hybrid offspring of American bisons and domestic cattle)
— pigs
— goats, lambs and sheep
— poultry (chickens, ducks, geese, turkeys and guinea fowl)
— hares and rabbits
— horses, donkeys and other equines
— camels, dromedaries, alpaca, llamas, guanacos, vicuñas and other camelids
— ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds
— snakes and other reptiles
— spiders, scorpions, insects and worms
— terrestrial snails
— frogs";"— bovins (vache, veau; bœuf, zébu; watussi, gaur, gayal, banteng et yak)
— buffles (buffles d’eau ou d’Inde ; buffles arnis ou d’Asie ; buffles pigmés, ou Celebes ; buffles d’Afrique tels que les buffles nains et les grands buffles Caffer ; bisons d’Amérique ; bisons d’Europe ; et beefalos (croisement entre un bison d’Amérique et un bovin domestique)
— porcs
—chèvres, agneaux et moutons
— volaille (poulets, canards, oies, dindes et pintades)
— lièvres et lapins
— chevaux, ânes et autres équidés
— chameaux, dromadiares, alpagas, lamas, guanacos, vigognes et autres camélidés
— autruches, émeus, nandous, faisans, tétras, pigeons, cailles et autres oiseaux
— serpents et autres reptiles
— araignées, scorpions, insectes et verres
— escargots terrestres
— grenouilles";;;"— live fish (01.1.3.1)
— other live seafood (01.1.3.4)
— live animals for transport (07.1.4.0)
— live animals purchased for recreational purposes (09.1.2.4)";"— poissons vivants (01.1.3.1)
— autres produits de la mer vivants (01.1.3.4)
— animaux vivants destinés au transport (07.1.4.0)
— animaux vivants achetés pour les loisirs (09.1.2.4)";;;
23;Poste;01.1.2.1;01.1.2.1.1;Live cattle;Animal bovin, vivant;Cattle and buffaloes purchased live for human consumption as food.;Bovins et buffles vivants destinés à l'alimentation humaine;"— cattle: cows, calves, common ox, zebu or humped ox, watusi, gaur, gayal, banteng, yak
— buffaloes (Indian or water buffaloes; arnis, or wild water buffaloes; Asiatic buffalo or arni,
Sulwaesi anoas, or pygmy buffaloes, African buffaloes, such as the dwarf buffalo and the
large Caffrarian buffalo, the American bisons, known simply as or “buffaloes”; European
bisons; and the “beefaloes” (hybrid offspring of the American bisons and domestic cattle)";"— bovins (vache, veau; bœuf, zébu; watussi, gaur, gayal, banteng et yak)
— buffles (buffles d’eau ou d’Inde ; buffles arnis ou d’Asie ; buffles pigmés, ou Celebes ; buffles d’Afrique tels que les buffles nains et les grands buffles Caffer ; bisons d’Amérique ; bisons d’Europe ; et beefalos (croisement entre un bison d’Amérique et un bovin domestique)";;;;;;;
24;Poste;01.1.2.1;01.1.2.1.2;Live pigs;Porcs, vivants;Pigs purchased live for human consumption as food.;Porcs vivants destinées à l'alimentation humaine;— pigs;— porcs;;;;;;;
25;Poste;01.1.2.1;01.1.2.1.3;Live goats, lambs and sheeps;Chèvres, agneaux et moutons,vivants;Goats, lambs and sheep purchased live for human consumption as food.;Chèvres, agneaux et moutons vivants destinés à l'alimentation humaine;— goats, lambs and sheep;—chèvres, agneaux et moutons;;;;;;;
26;Poste;01.1.2.1;01.1.2.1.4;Live poultry;Volailles, vivantes;Chicken, ducks, geese, turkeys and guinea fowl purchased live for human consumption as food.;Poulets, canards, oies, dindes et pintades vivants destinés à l'alimentation humaine;— poultry (chickens, ducks, geese, turkeys and guinea fowl);— volaille (poulets, canards, oies, dindes et pintades);;;;;;;
27;Poste;01.1.2.1;01.1.2.1.5;Live hares and rabbits;Lièvres et lapins, vivants;Hares and rabbits purchased live for human consumption as food;Lièvres et lapins vivants destinés à l'alimentation humaine;— hares and rabbits;— lièvres et lapins;;;;;;;
28;Poste;01.1.2.1;01.1.2.1.9;Other live animals;Autres animaux vivants;Other animals n.e.c. purchased live for human consumption as food;Autres animaux n.c.a. vivants destinés à l'alimentation humaine;"— horses, donkeys and other equines
— camels, dromedaries, alpaca, llamas, guanacos, vicuñas and other camelids
— ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds
— snakes and other reptiles
— spiders, scorpions, insects and worms
— terrestrial snails
— frogs
— other animals n.e.c.";"— chevaux, ânes et autres équidés
— chameaux, dromadaires, alpagas, lamas, guanacos, vigognes et autres camélidés
— autruches, émeus, nandous, faisans, tétras, pigeons, cailles et autres oiseaux
— serpents et autres reptiles
— araignées, scorpions, insectes et verres
— escargots terrestres
— grenouilles
— autres animaux n.c.a.";;;"—  live fish (01.1.3.1)
—  other live seafood (01.1.3.4)
—  live animals for transport (07.1.4.0)
—  live animals used for recreation (09.1.2.4)";"— poissons vivants (01.1.3.1)
— autres produits de la mer vivants (01.1.3.4)
— animaux vivants destinés au transport (07.1.4.0)
— animaux vivants achetés pour les loisirs (09.1.2.4)";;;
29;Sous-classe;01.1.2;01.1.2.2;Meat, fresh, chilled or frozen (ND);Viande, fraîche, réfrigérée ou surgelée (ND);Meat of all animals, both domestic and wild, fresh, chilled or frozen.;Viandes de tous les animaux, domestiques et sauvages, fraîches, réfrigérées ou surgelées.;"— meat of cattle (cows; calves; common ox, zebu or humped ox; watusi; gaur; gayal, banteng and yak)
— meat of buffaloes (Indian or water buffaloes; arnis, or wild water buffaloes: Asiatic buffalo or arni, Sulawesi anoas, or pygmy buffaloes, African buffaloes, such as the dwarf buffalo and the large Caffrarian buffalo the American bisons, known simply as buffaloes; European bisons; and beefaloes (hybrid offspring of American bisons and domestic cattle)
— meat of pigs
— meat of goats, lambs and sheep
— meat of poultry (chickens, ducks, geese, turkeys and guinea fowl)
— meat of hares and rabbits
— meat of horses, donkeys and other equines
— meat of camels, dromedaries, alpaca, llamas, guanacos, vicuñas and other camelids
— meat of antelopes, deer, boars and kangaroos
— meat of ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds
— meat of snakes, alligators and other reptiles
— spiders, scorpions, insects, and worms (not-live)
— terrestrial snails
— frogs";"— viandes bovine (vaches ; veaux ; bœuf, zébu ; watussi ; gaur ; gayal, banteng et yak)
— viandes de buffles (buffles d’eau ou d’Inde ; buffles arnis ou d’Asie ; buffles pigmés, ou Celebes ; buffles d’Afrique tels que les buffles nains et les grands buffles Caffer ; bisons d’Amérique ; bisons d’Europe ; et beefalos (croisement entre un bison d’Amérique et un bovin domestique)
— viandes de porcs
— viandes de chèvres, agneaux et moutons
— viandes de volaille (poulets, canards, oies, dindes et pintades)
— viandes de lièvres et lapins
— viandes de chevaux, ânes et autres équidés
— viandes de chameaux, dromadaires, alpagas, lamas, guanacos, vigognes et autres camélidés
— viandes d’antilopes, cerfs, sangliers et kangourous
— viandes d’autruches, émeus, nandous, faisans, tétras, pigeons, cailles et autres oiseaux
— viandes de serpents et autres reptiles
— araignées, scorpions, insectes et verres (non-vivants)
— escargots terrestres
— grenouilles";"— minced meat of the animals listed directly above
— meat of seals, walruses, whales and other marine mammals";"— viande hachée des animaux listés précédemments
— viandes de phoques, morses, baleines et autres animaux marins";;;;;
30;Poste;01.1.2.2;01.1.2.2.1;Meat of cattle, fresh, chilled or frozen;Viande d’animaux bovins, fraîche, réfrigérée ou congelée;Meat of cattle and of buffaloes, fresh, chilled or frozen.;Viande de bœuf et de buffle, fraîche, réfrigérée ou congelée.;"Fresh, chilled or frozen meat of:
— cattle: cow, calves, common ox, zebu or humped ox, watusi, gaur, gayal, banteng, yak
— buffaloes (Indian or water buffaloes; arnis, or wild water buffaloes; Asiatic buffalo or arni,
Sulwaesi anoas, or pygmy buffaloes, African buffaloes, such as the dwarf buffalo and the
large Caffrarian buffalo, the American bisons, known simply as or “buffaloes”; European
bisons; and the “beefaloes” (hybrid offspring of the American bisons and domestic cattle)";"Viande fraîche, réfrigérée ou congelée de :
— bovins : vache, veau, bœuf commun, zébu ou bœuf à bosse, watusi, gaur, gayal, banteng, yack
—  buffle (buffles d’eau ou d’Inde ; buffles arnis ou d’Asie ; buffles pigmés, ou Celebes ; buffles d’Afrique tels que les buffles nains et les grands buffles Caffer ; bisons d’Amérique ; bisons d’Europe ; et beefalos (croisement entre un bison d’Amérique et un bovin domestique)";;;;;;;
