tri;type;parent;code;label_en;label_fr;note_generale_en;note_generale_fr;contenu_central_en;contenu_central_fr;contenu_additionnel_en;contenu_additionnel_fr;note_exclusion_en;note_exclusion_fr;;;
588;Sous-classe;07.3.2;07.3.2.1;Passenger transport by bus and coach (S);Transport de passagers par autobus et autocar (S);;;"— transport of persons and accompanied luggage by bus, trolleybus, and coach
— transport of persons and accompanied luggage by share taxi, a vehicle for hire that may be characterized as a cross between a taxicab and a bus. This mode of transport is often utilized in developing countries. Share taxis are typically smaller in size than buses, ranging from four-seat cars to minibuses, and are often owner-operated. They usually operate without a timetable along a fixed or semi-fixed route and may stop anywhere along that route to pick up or drop off passengers.";"— transport de personnes et de bagages accompagnés par autobus, trolleybus et autocar
— transport de personnes et de bagages accompagnés en taxi collectif, un véhicule de location qui peut être caractérisé comme un croisement entre un taxi et un autobus. Ce mode de transport est souvent utilisé dans les pays en développement. Les taxis collectifs sont généralement plus petits que les bus, allant des voitures à quatre places aux minibus, et sont souvent exploités par leur propriétaire. Ils fonctionnent généralement sans horaire, le long d'un itinéraire fixe ou semi-fixe, et peuvent s'arrêter n'importe où le long de cet itinéraire pour prendre ou déposer des passagers";;;;;;;
589;Poste;07.3.2.1;07.3.2.1.1;Intercity road passenger transport;Transport routier interurbain de passagers;;;— transport of persons and accompanied luggage by bus, trolleybus, and coach between distinct urban areas;— transport de personnes et de bagages accompagnés par autobus, trolleybus et autocar entre zones urbaines distinctes;;;;;;;
590;Poste;07.3.2.1;07.3.2.1.2;Urban and suburban road passenger transport;Transport routier urbain et suburbain de passagers;;;— transport of persons and accompanied luggage by bus, trolleybus, and coach in the same urban area;— transport de personnes et de bagages accompagnés par autobus, trolleybus et autocar dans une même zone urbaine;;;;;;;
591;Poste;07.3.2.1;07.3.2.1.3;Shared taxis;Taxis collectifs;;;— transport of persons and accompanied luggage by share taxi, a vehicle for hire that may be characterized as a cross between a taxicab and a bus. This mode of transport is often utilized in developing countries. Share taxis are typically smaller in size than buses, ranging from four-seat cars to minibuses, and are often owner-operated. They usually operate without a timetable along a fixed or semi-fixed route and may stop anywhere along that route to pick up or drop off passengers.;— transport de personnes et de bagages accompagnés en taxi collectif, un véhicule de location qui peut être caractérisé comme un croisement entre un taxi et un autobus. Ce mode de transport est souvent utilisé dans les pays en développement. Les taxis collectifs sont généralement plus petits que les bus, allant des voitures à quatre places aux minibus, et sont souvent exploités par leur propriétaire. Ils fonctionnent généralement sans horaire, le long d'un itinéraire fixe ou semi-fixe, et peuvent s'arrêter n'importe où le long de cet itinéraire pour prendre ou déposer des passagersus) ;;;;;;;
592;Sous-classe;07.3.2;07.3.2.2;Passenger transport by taxi and hired vehicle with driver (S);Transport de passagers par taxi et location de voitures avec chauffeur (S);;;"— transport of persons and accompanied luggage by taxi and hired vehicle, with driver
— transport of persons and accompanied luggage through private arrangements, such as carpooling and ride sharing";"— transport de personnes et de bagages accompagnés par taxi et véhicule de location avec chauffeur
— transport de personnes et de bagages accompagnés par des arrangements privés, tels que covoiturage et autopartage";;;;;;;
593;Poste;07.3.2.2;07.3.2.2.1;Passenger transport by taxi and hired vehicle with driver;Transport de passagers par taxi et location de voiture de transport avec chauffeur;;;"— transport of persons and accompanied luggage by taxi and hired vehicle, with driver
— transport of persons and accompanied luggage through private arrangements, such as carpooling and ride sharing";"— transport de personnes et de bagages accompagnés par taxi et véhicule de location avec chauffeur
— transport de personnes et de bagages accompagnés par des arrangements privés, tels que covoiturage et autopartage";;;;;;;
594;Sous-classe;07.3.2;07.3.2.3;Passenger transport for students to and from school (S);Ramassage scolaire (S);;;"— local school bus charter services, with driver
— inter-urban and intercity school bus charter services operating by schedule
— transportation of pupils by school bus between their homes and school and between schools, including in rural areas";"— services d'autobus scolaires locaux avec chauffeur
— services d'affrètement d'autobus scolaires interurbains ou interurbains réguliers
— transport d'élèves par autobus scolaire entre leur domicile et l'école et entre les écoles, y compris dans les zones rurales";;;;;;;
595;Poste;07.3.2.3;07.3.2.3.1;Passenger transport for students to and from school;Ramassage scolaire;;;"— local school bus charter services, with driver
— inter-urban and intercity school bus charter services operating by schedule
— transportation of pupils by school bus between their homes and school and between schools, including in rural areas";"— services d'autobus scolaires locaux avec chauffeur
— services d'affrètement d'autobus scolaires interurbains ou interurbains réguliers
— transport d'élèves par autobus scolaire entre leur domicile et l'école et entre les écoles, y compris dans les zones rurales";;;;;;;
596;Sous-classe;07.3.2;07.3.2.9;Other passenger transport by road (S);Autres transports de passagers par route (S);;;— transport of persons and accompanied luggage by animal-drawn vehicles, with driver;— transport de personnes et de bagages accompagnés dans des véhicules à traction animale, avec chauffeur;— tuk-tuks, auto and cycle rickshaws and motorcycles serving as taxis;— tuk-tuks, pousse-pousse automobiles et cyclistes et motocyclettes utilisés en tant que taxis;— transport of persons and accompanied luggage by busses with driver (07.3.2.1);— transport de personnes et de bagages accompagnés par bus avec chauffeur (07.3.2.1);;;
597;Poste;07.3.2.9;07.3.2.9.1;Other passenger transport by road;Autres transports de passagers par route;;;— transport of persons and accompanied luggage by animal-drawn vehicles, with driver;— transport de personnes et de bagages accompagnés dans des véhicules à traction animale, avec chauffeur;— tuk-tuks, auto and cycle rickshaws and motorcycles serving as taxis;— tuk-tuks, pousse-pousse automobiles et cyclistes et motocyclettes utilisés en tant que taxis;— transport of persons and accompanied luggage by busses with driver (07.3.2.1);— transport de personnes et de bagages accompagnés par bus avec chauffeur (07.3.2.1);;;
598;Classe;07.3;07.3.3;Passenger transport by air (S);Transport aérien de passagers (S);;;— transport of persons and accompanied luggage by aeroplane and helicopter;— transport de personnes et de bagages accompagnés par avion et hélicoptère;— passenger transport by drone and multi-copter;— transport de passagers par drone et multicoptère;;;;;
599;Sous-classe;07.3.3;07.3.3.1;Passenger transport by air, domestic (S);Transport aérien intérieur de passagers (S);;;"— domestic scheduled and chartered air passenger transport services
— domestic transport of persons and accompanied luggage by aeroplane and helicopter";"— services de transport aérien domestique régulier et affrété de passagers
— transport domestique de personnes et de bagages accompagnés par avion et hélicoptère";— domestic air passenger transport by drone and multi-copter;— transport aérien domestique de passagers par drone et multicoptère;;;;;
600;Poste;07.3.3.1;07.3.3.1.1;Passenger transport by air, domestic;Transport aérien intérieur de passagers;;;"— domestic scheduled and chartered air passenger transport services
— domestic transport of persons and accompanied luggage by aeroplane and helicopter";"— services de transport aérien domestique régulier et affrété de passagers
— transport domestique de personnes et de bagages accompagnés par avion et hélicoptère";— domestic air passenger transport by drone and multi-copter;— transport aérien domestique de passagers par drone et multicoptère;;;;;
601;Sous-classe;07.3.3;07.3.3.2;Passenger transport by air, international (S);Transport aérien international de passagers (S);;;— transportation of persons and accompanied luggage by air on an international scheduled and chartered flight;— transport de personnes et de bagages accompagnés par voie aérienne sur un vol international régulier ou affrété;— international air passenger transport by drone and multi-copter;— transport aérien international de passagers par drone et multicoptère;;;;;
602;Poste;07.3.3.2;07.3.3.2.1;Passenger transport by air, international;Transport aérien international de passagers;;;— transportation of persons and accompanied luggage by air on an international scheduled and chartered flight;— transport de personnes et de bagages accompagnés par voie aérienne sur un vol international régulier ou affrété;— international air passenger transport by drone and multi-copter;— transport aérien international de passagers par drone et multicoptère;;;;;
603;Classe;07.3;07.3.4;Passenger transport by sea and inland waterway (S);Transport de passagers par mer et voies navigables intérieures (S);;;"— transport of persons and accompanied luggage by ship, boat, ferry, hovercraft and hydrofoil
— transport of accompanied private vehicles
— water taxis";"— transport de personnes et de bagages accompagnés par navire, bateau, ferry, aéroglisseur et hydroglisseur
— transportde véhicules privés accompagné
— taxis aquatiques";;;;;;;
604;Sous-classe;07.3.4;07.3.4.0;Passenger transport by sea and inland waterway (S);Transport de passagers par mer et voies navigables intérieures (S);;;"— transport of persons and accompanied luggage by ship, boat, ferry, hovercraft and hydrofoil
— transport of accompanied private vehicles
— water taxis";"— transport de personnes et de bagages accompagnés par navire, bateau, ferry, aéroglisseur et hydroglisseur
— transport de véhicules privés accompagné
— taxis aquatiques";;;;;;;
605;Poste;07.3.4.0;07.3.4.0.1;Passenger transport by sea;Transport de passagers par mer;;;"— transport by sea of persons and accompanied luggage by ship, boat, ferry, hovercraft and hydrofoil
— transport by sea of accompanied private vehicles";"— transport maritime de personnes et de bagages accompagnés par navire, bateau, ferry, aéroglisseur et hydroglisseur
— transport maritime de véhicules privés accompagné";;;;;;;
606;Poste;07.3.4.0;07.3.4.0.2;Passenger transport by inland waterway;Transport de passagers par voies navigables intérieures;;;"— transport by inland waterway of persons and accompanied luggage by boat, hovercraft and hydrofoil
— transport by inland waterway of accompanied private vehicles
— water taxis";"— transport fluvial de personnes et de bagages accompagnés par bateau, aéroglisseur et hydroglisseur
— transport fluvial de véhicules privés accompagné
— taxis aquatiques";;;;;;;
607;Classe;07.3;07.3.5;Combined passenger transport (S);Transport combiné de passagers (S);;;"— transport of persons and accompanied luggage via two or more modes of transport when the expenditure cannot be apportioned between them
— multiple modes of transport (e.g., bus, tram, subway, ferry) as covered by one ticket";"— transport personnes et de bagages accompagnés via deux, ou plus, modes de transport lorsque les dépenses ne peuvent être réparties entre eux
— modes de transport multiples (par exemple, bus, tramway, métro, ferry) couverts par un billet";— transport of accompanied private vehicles (as covered, e.g., by a ticket for a combined train and ferry trip);— transport de véhicules privés accompagnés (couvert, par exemple, par un billet pour un voyage combiné en train et en ferry);— package holidays (09.8.0.0);— forfaits touristiques (09.8.0.0);;;
608;Sous-classe;07.3.5;07.3.5.0;Combined passenger transport (S);Transport combiné de passagers (S);;;"— transport of persons and accompanied luggage via two or more modes of transport when the expenditure cannot be apportioned between them
— multiple modes of transport (e.g., bus, tram, subway, ferry) as covered by one ticket";"— transport personnes et de bagages accompagnés via deux, ou plus, modes de transport lorsque les dépenses ne peuvent être réparties entre eux
— modes de transport multiples (par exemple, bus, tramway, métro, ferry) couverts par un billet";— transport of accompanied private vehicles (as covered, e.g., by a ticket for a combined train and ferry trip);— transport de véhicules privés accompagnés (couvert, par exemple, par un billet pour un voyage combiné en train et en ferry);— package holidays (09.8.0.0);— forfaits touristiques (09.8.0.0);;;
609;Poste;07.3.5.0;07.3.5.0.1;Combined passenger transport;Transport combiné de passagers;;;"— transport of persons and accompanied luggage via two or more modes of transport when the expenditure cannot be apportioned between them
— multiple modes of transport (e.g., bus, tram, subway, ferry) as covered by one ticket";"— transport personnes et de bagages accompagnés via deux, ou plus, modes de transport lorsque les dépenses ne peuvent être réparties entre eux
— modes de transport multiples (par exemple, bus, tramway, métro, ferry) couverts par un billet";— transport of accompanied private vehicles (as covered, e.g., by a ticket for a combined train and ferry trip);— transport de véhicules privés accompagnés (couvert, par exemple, par un billet pour un voyage combiné en train et en ferry);— package holidays (09.8.0.0);— forfaits touristiques (09.8.0.0);;;
610;Classe;07.3;07.3.6;Other passenger transport services (S);Autres services de transport de passagers (S);;;"— funicular, elevator, cable car and chairlift transport
— services of porters, left-luggage offices (related to storage of travellers’ luggage for a limited period of time) and luggage forwarding offices
— travel agents’ commissions, if priced separately
— transporter bridges and transport elevators including incline elevators";"— transport par funiculaire, ascenseur, téléphérique et télésiège
— services de porteurs, services de consignes (liés à l'entreposage des bagages des voyageurs pour une période limitée) et d'expédition de bagages
— commissions des agences de voyage, si elles sont facturées séparément
— ponts transporteurs et ascenseurs de transport, y compris ascenseurs inclinés";;;— cable car and chairlift transport at ski resorts and holiday centres (09.4.6.2);— transport en téléphérique et en télésiège dans les stations de ski et les centres de vacances (09.4.6.2);;;
611;Sous-classe;07.3.6;07.3.6.0;Other passenger transport services (S);Autres services de transport de passagers (S);;;"— funicular, elevator, cable car and chairlift transport
— services of porters, left-luggage offices (related to storage of travellers’ luggage for a limited period of time) and luggage forwarding offices
— travel agents’ commissions, if priced separately
— transporter bridges and transport elevators including incline elevators";"— transport par funiculaire, ascenseur, téléphérique et télésiège
— services de porteurs, services de consignes (liés à l'entreposage des bagages des voyageurs pour une période limitée) et d'expédition de bagages
— commissions des agences de voyage, si elles sont facturées séparément
— ponts transporteurs et ascenseurs de transport, y compris ascenseurs inclinés";;;— cable-car and chairlift transport at ski resorts and holiday centres (09.4.6.2);— transport en téléphérique et en télésiège dans les stations de ski et les centres de vacances (09.4.6.2);;;
612;Poste;07.3.6.0;07.3.6.0.1;Other purchased transport services;Autres services de transport de passagers;;;"— funicular, elevator, cable car and chairlift transport
— services of porters, left-luggage offices (related to storage of travellers’ luggage for a limited period of time) and luggage forwarding offices
— travel agents’ commissions, if priced separately
— transporter bridges and transport elevators including incline elevators";"— transport par funiculaire, ascenseur, téléphérique et télésiège
— services de porteurs, services de consignes (liés à l'entreposage des bagages des voyageurs pour une période limitée) et d'expédition de bagages
— commissions des agences de voyage, si elles sont facturées séparément
— ponts transporteurs et ascenseurs de transport, y compris ascenseurs inclinés";;;— cable-car and chairlift transport at ski resorts and holiday centres (09.4.6.2);— transport en téléphérique et en télésiège dans les stations de ski et les centres de vacances (09.4.6.2);;;
613;Groupe;07;07.4;Transport services of goods;Services de transport de marchandises;;;;;;;;;;;
614;Classe;07.4;07.4.1;Postal and courier services (S);Services postaux et de coursiers (S);;;"— new postage stamps and pre-franked postal matter (e.g., pre-franked postcards, envelopes)
— letter courier services
— parcel delivery services (incoming and outgoing – parcels sent and parcel home delivery)
— parcel delivery services for goods purchased online
— small parcel courier services
— mailbox rentals";"— nouveaux timbres-poste et envois postaux pré-affranchis (par exemple, cartes postales pré-affranchies, enveloppes) ;
— services de courrier pour lettres
— services de livraison de colis (entrants et sortants - colis envoyés et livraison de colis à domicile)
— services de livraison de colis de biens achetés en ligne
— services de courrier pour petits colis
— services de location de boîtes postales";;;"— services of porters and left-luggage and luggage-forwarding offices (07.3.6.0)
— services of delivery of goods, such as furniture and groceries, if separately priced; local delivery of purchased items, such as take-out meals and prescription drugs; and delivery services made immediately after the item is purchased or scheduled within a short time (07.4.9.2)
— postcards, envelopes and other postal matter, not pre-franked (09.7.4.0)";"— services des porteurs et des bureaux d'expédition de bagages (07.3.6.0)
— services de livraison de biens, tels que meubles et produits d'épicerie, s'ils sont tarifés séparément ; livraison locale d'articles achetés, tels que repas à emporter et médicaments délivrés sur ordonnance ; et services de livraison effectués immédiatement après l'achat de l'article ou programmés dans un court laps de temps (07.4.9.2)
— cartes postales, enveloppes et autres envois postaux, non préaffranchis (09.7.3.0)";;;
615;Sous-classe;07.4.1;07.4.1.1;Letter handling services (S);Service d’expédition du courrier (S);;;"— new postage stamps and other pre-franked postal matter (e.g., pre-franked postcards, envelopes)
— letter courier services
— mailbox rentals";"— nouveaux timbres-poste et envois postaux pré-affranchis (par exemple, cartes postales pré-affranchies, enveloppes)
— services de courrier pour lettres";;;— postcards, envelopes and other postal matter, not pre-franked (09.7.4.0);— cartes postales, enveloppes et autres envois postaux, non préaffranchis (09.7.3.0);;;
616;Poste;07.4.1.1;07.4.1.1.1;Letter handling services;Services d’expédition du courrier;;;"— new postage stamps and other pre-franked postal matter (e.g., pre-franked postcards, envelopes)
— letter courier services
— mailbox rentals";"— nouveaux timbres-poste et envois postaux pré-affranchis (par exemple, cartes postales pré-affranchies, enveloppes)
— services de courrier pour lettres";;;— postcards, envelopes and other postal matter, not pre-franked (09.7.4.0);— cartes postales, enveloppes et autres envois postaux, non préaffranchis (09.7.3.0);;;
617;Sous-classe;07.4.1;07.4.1.2;Courier and parcel delivery services (S);Services de coursiers et de livraison de colis (S);;;"— parcel delivery services (incoming and outgoing – parcel shipment and parcel home delivery)
— small parcel courier services
— parcel delivery services for goods purchased online";"— services de livraison de colis (entrants et sortants - colis envoyés et livraison de colis à domicile)
— services de courrier pour petits colis
— services de livraison de colis de biens achetés en ligne";;;— delivery services for goods (e.g., furniture and groceries), if separately priced (07.4.9.2);— services de livraison de marchandises (par exemple, meubles et produits d’épiceries), s'ils sont facturés séparément (07.4.9.2);;;
618;Poste;07.4.1.2;07.4.1.2.1;Courier and parcel delivery services;Services de coursiers et de livraison de colis;;;"— parcel delivery services (incoming and outgoing – parcel shipment and parcel home delivery)
— small parcel courier services
— parcel delivery services for goods purchased online";"— services de livraison de colis (entrants et sortants - colis envoyés et livraison de colis à domicile)
— services de courrier pour petits colis
— services de livraison de colis de biens achetés en ligne";;;— delivery services for goods (e.g., furniture and groceries), if separately priced (07.4.9.2);— services de livraison de marchandises (par exemple, meubles et produits d’épiceries), s'ils sont facturés séparément (07.4.9.2);;;
619;Classe;07.4;07.4.9;Other transport of goods (S);Autres transports de marchandises (S);;;"— removal and storage services, including of furniture
— delivery services for goods (e.g., furniture and groceries), if separately priced
— local delivery of purchased items, such as takeout meals and prescription drugs
— delivery services generally provided immediately after the purchase of an item or scheduled shortly thereafter";"— services de déménagement et de stockage, y compris de meubles
— services de livraison de biens (par exemple, meubles et produits d'épicerie), s'ils sont facturés séparément
— livraison locale d'articles achetés, tels que repas à emporter et médicaments sur ordonnance
— services de livraison généralement effectués immédiatement après l'achat de l'article ou programmés peu après";;;"— self-storage units (04.1.2.2)
— installation of goods (furniture, electric devices, etc.), if separately priced (05.1.2.0, 05.3.3.0)
— services of porters and left-luggage and luggage-forwarding offices (07.3.6.0)";"— unités de self-stockage (04.1.2.2)
— installation de biens (meubles, appareils électriques, etc.), si elle est facturée séparément (05.1.2.0, 05.3.3.0) 
— services des porteurs et des bureaux d'expédition de bagages (07.3.6.0)";;;
620;Sous-classe;07.4.9;07.4.9.1;Removal and storage services (S);Services de déménagement et d’entreposage (S);;;— removal and storage services, including of furniture;— services de déménagement et de stockage, y compris de meubles;;;"— self-storage units (04.1.2.2)
— services of porters and left-luggage and luggage-forwarding offices (07.3.6.0)";"— unités de self-stockage (04.1.2.2)
— services des porteurs et des bureaux d'expédition de bagages (07.3.6.0)";;;
621;Poste;07.4.9.1;07.4.9.1.1;Removal and storage services;Services de déménagement et d’entreposage;;;— removal and storage services, including of furniture;— services de déménagement et de stockage, y compris de meubles;;;"— self-storage units (04.1.2.2)
— services of porters and left-luggage and luggage-forwarding offices (07.3.6.0)";"— unités de self-stockage (04.1.2.2)
— services des porteurs et des bureaux d'expédition de bagages (07.3.6.0)";;;
622;Sous-classe;07.4.9;07.4.9.2;Delivery of goods (S);Livraison de marchandises (S);;;"— delivery services for goods (e.g., furniture, supermarket shopping), when separately priced
— local delivery of purchased items, such as takeaway meals and prescription drugs
— delivery services generally provided immediately after the purchase of an item or scheduled shortly thereafter";"— services de livraison de biens (par exemple, meubles et produits d'épicerie), s'ils sont facturés séparément
— livraison locale d'articles achetés, tels que repas à emporter et médicaments sur ordonnance
— services de livraison généralement effectués immédiatement après l'achat de l'article ou programmés peu après";;;— installation of goods (furniture, electric devices, etc.) when separately priced (05.1.2.0, 05.3.3.0);— installation de biens (meubles, appareils électriques, etc.), si elle est facturée séparément (05.1.2.0, 05.3.3.0);;;
623;Poste;07.4.9.2;07.4.9.2.1;Services of delivery of large furniture;Services de livraison de gros meubles;;;"— delivery services for goods (e.g., furniture), when separately priced
— delivery services of furniture  generally provided immediately after the purchase of an item or scheduled shortly thereaft";"— services de livraison de biens (par exemple, meubles), s'ils sont facturés séparément
— services de livraison de meubles généralement effectués immédiatement après l'achat de l'article ou programmés peu après";;;— installation of goods (furniture, electric devices, etc.) when separately priced (05.1.2.0, 05.3.3.0);— installation de biens (meubles, appareils électriques, etc.), si elle est facturée séparément (05.1.2.0, 05.3.3.0).;;;
624;Poste;07.4.9.2;07.4.9.2.2;Other delivery of goods;Autres livraisons de marchandises;;;"— delivery services for goods (e.g. supermarket shopping), when separately priced
— local delivery of purchased items, such as takeaway meals and prescription drugs
— others delivery services generally provided immediately after the purchase of an item or scheduled shortly thereafter";"— services de livraison de biens (par exemple, produits d'épicerie), s'ils sont facturés séparément
— livraison locale d'articles achetés, tels que repas à emporter et médicaments sur ordonnance
— autres services de livraison généralement effectués immédiatement après l'achat de l'article ou programmés peu après";;;— services of delivery of large furniture (07.4.9.2.1);— services de livraison de gros meubles (07.4.9.2.1);;;
625;Division;;08;Information and communication;Information et communication;"Division 08 covers three main groups of goods and services: information and communication equipment, including equipment for the reception, recording and reproduction of sound and vision (08.1); software (08.2); and information and communication services (08.3). Information and communication services include telephone services, services providing Internet access, television and radio licences and fees, and subscription services, including streaming services of film and music.
Division 08 also includes repair, maintenance and rental of all information and communication equipment.";"La division 08 couvre trois groupes principaux de biens et de services : les équipements d'information et de communication, y compris les équipements de réception, d'enregistrement et de reproduction du son et de l'image (08.1) ; les logiciels (08.2) ; et les services d'information et de communication (08.3). Les services d'information et de communication comprennent les services téléphoniques, les services d'accès à Internet, les licences et redevances de télévision et de radio, et les services d'abonnement, y compris les services de diffusion en continu de films et de musique.
La division 08 comprend également la réparation, l'entretien et la location de tous les équipements d'information et de communication.";;;;;;;;;
626;Groupe;08;08.1;Information and communication equipment;Matériel d’information et de communication;;;;;;;;;;;
627;Classe;08.1;08.1.1;Fixed telephone equipment (D);Matériel de téléphonie fixe (D);;;— telephones, telefax and telephone answering machines, and telephone loudspeakers;— téléphones, télécopieurs et répondeurs téléphoniques, et haut-parleurs de téléphone;;;— telefax and telephone-answering facilities provided by personal computers (08.1.3.1);— services de télécopie et de réponse téléphonique fournis par les ordinateurs personnels (08.1.3.1);;;
628;Sous-classe;08.1.1;08.1.1.0;Fixed telephone equipment (D);Matériel de téléphonie fixe (D);;;— telephones, telefax and telephone answering machines, and telephone loudspeakers;— téléphones, télécopieurs et répondeurs téléphoniques, et haut-parleurs de téléphone;;;— telefax and telephone-answering facilities provided by personal computers (08.1.3.1);— services de télécopie et de réponse téléphonique fournis par les ordinateurs personnels (08.1.3.1);;;
629;Poste;08.1.1.0;08.1.1.0.1;Fixed telephone equipment;Matériel de téléphonie fixe;;;— telephones, telefax and telephone answering machines, and telephone loudspeakers;— téléphones, télécopieurs et répondeurs téléphoniques, et haut-parleurs de téléphone;;;— telefax and telephone-answering facilities provided by personal computers (08.1.3.1);— services de télécopie et de réponse téléphonique fournis par les ordinateurs personnels (08.1.3.1);;;
630;Classe;08.1;08.1.2;Mobile telephone equipment (D);Matériel de téléphonie mobile (D);;;"— mobile telephone handsets, including multifunctional devices
— smartphones";"— combinés de téléphonie mobile, y compris appareils multifonctions
— smartphones";;;;;;;
631;Sous-classe;08.1.2;08.1.2.0;Mobile telephone equipment (D);Matériel de téléphonie mobile (D);;;"— mobile telephone handsets, including multifunctional devices
— smartphones";"— combinés de téléphonie mobile, y compris appareils multifonctions
— smartphones";;;;;;;
632;Poste;08.1.2.0;08.1.2.0.1;Mobile telephone equipment;Matériel de téléphonie mobile;;;"— mobile telephone handsets, including multifunctional devices
— smartphones";"— combinés de téléphonie mobile, y compris appareils multifonctions
— smartphones";;;;;;;
633;Classe;08.1;08.1.3;Information processing equipment (D);Matériel de traitement de l’information (D);;;"— personal computers, printers, photocopiers, scanners, monitors, projectors, augmented-
reality and virtual-reality head mounts, modems, routers, network switches, keyboards, mice and digitizers
— tablets
— calculators, including pocket calculators
— toner and ink cartridges, laser printer drums and typewriter ribbons
— typewriters and word processors";"— ordinateurs personnels, imprimantes, scanners, moniteurs, projecteurs, casques de réalité augmentée et de réalité virtuelle, modems, routeurs, commutateurs de réseau et autres, claviers, souris et numériseurs
— tablettes
— calculatrices, y compris calculatrices de poche
— cartouches de toner et d'encre, tambours d'imprimantes laser, rubans de machines à écrire
 — machines à écrire et traitements de texte";"— telefax and telephone-answering facilities of personal computers
— 3-D printers";"— fonctions de télécopie et de réponse téléphonique des ordinateurs personnels
— imprimantes 3D";"— computer software packages, comprising, for example, operating systems, applications and programming languages (08.2.0.0)
— video game software; and video game computers and consoles (09.2.1.1)
— books, dictionaries, encyclopaedias, foreign language trainers, multimedia presentations, etc. in the form of software (09.7.1.1)";"— logiciels informatiques, y compris, par exemple, systèmes d'exploitation, logiciels et langages de programmation (08.2.0.0)
— logiciels de jeux vidéo ; et ordinateurs et consoles de jeux vidéo (09.2.1.1)
— livres, dictionnaires, encyclopédies, cours de langues étrangères, présentations multimédias, etc. sous forme de logiciels (09.7.1.1)";;;
634;Sous-classe;08.1.3;08.1.3.1;Computers, laptops and tablets (D);Ordinateurs  y compris portables et tablettes (D);;;"— desktop computers and laptops
— tablets";"— ordinateurs de bureau et ordinateur portable
— tablettes";— telefax and telephone-answering facilities of personal computers;— fonctions de télécopie et de réponse téléphonique des ordinateurs personnels;"— computer software packages, comprising, for example, operating systems, applications and programming languages (08.2.0.0)
— video game software; and video game computers and consoles (09.2.1.1)
— books, dictionaries, encyclopaedias, foreign language trainers, multimedia presentations, etc. in the form of software (09.7.1.1)";"— logiciels informatiques, y compris, par exemple, systèmes d'exploitation, logiciels et langages de programmation (08.2.0.0)
— logiciels de jeux vidéo ; et ordinateurs et consoles de jeux vidéo (09.2.1.1)
— livres, dictionnaires, encyclopédies, cours de langues étrangères, présentations multimédias, etc. sous forme de logiciels (09.7.1.1)";;;
635;Poste;08.1.3.1;08.1.3.1.1;Computers, laptops and tablets;Ordinateurs dont portables et tablettes;;;"— desktop computers and laptops
— tablets";"— ordinateurs de bureau et ordinateur portable
— tablettes";— telefax and telephone-answering facilities of personal computers;— fonctions de télécopie et de réponse téléphonique des ordinateurs personnels;"— computer software packages, comprising, for example, operating systems, applications and programming languages (08.2.0.0)
— video game software; and video game computers and consoles (09.2.1.1)
— books, dictionaries, encyclopaedias, foreign language trainers, multimedia presentations, etc. in the form of software (09.7.1.1)";"— logiciels informatiques, y compris, par exemple, systèmes d'exploitation, logiciels et langages de programmation (08.2.0.0)
— logiciels de jeux vidéo ; et ordinateurs et consoles de jeux vidéo (09.2.1.1)
— livres, dictionnaires, encyclopédies, cours de langues étrangères, présentations multimédias, etc. sous forme de logiciels (09.7.1.1)";;;
636;Sous-classe;08.1.3;08.1.3.2;Peripheral equipment and its consumable components (D);Équipements périphériques et leurs composants consommables (D);;;"— printers, photocopiers, scanners, monitors, projectors, augmented-reality and virtual-reality head mounts, modems, routers, network switches and the like, keyboards, mouses and digitizers
— typewriters and word processors (device)
— toner and ink cartridges, laser printer drums, typewriter ribbons
— calculators, including pocket calculators
— web cameras.";"— imprimantes, photocopieurs, scanners, moniteurs, projecteurs, casques de réalité augmentée et de réalité virtuelle, modems, routeurs, commutateurs de réseau et autres, claviers, souris et numériseurs ;
 — machines à écrire et traitements de texte
— cartouches de toner et d'encre, tambours d'imprimantes laser, rubans de machines à écrire
— calculatrices, y compris calculatrices de poche
— caméras web";— 3-D printers;— imprimantes 3D;;;;;
637;Poste;08.1.3.2;08.1.3.2.1;Peripheral equipment;Équipements périphériques;;;"— printers, photocopiers, scanners, monitors, projectors, augmented-reality and virtual-reality head mounts, modems, routers, network switches and the like, keyboards, mouses and digitizers
— typewriters and word processors (device)
— calculators, including pocket calculators
— web cameras.";"— imprimantes, photocopieurs, scanners, moniteurs, projecteurs, casques de réalité augmentée et de réalité virtuelle, modems, routeurs, commutateurs de réseau et autres, claviers, souris et numériseurs ;
 — machines à écrire et traitements de texte
— calculatrices, y compris calculatrices de poche
— caméras web";— 3-D printers;— imprimantes 3D;;;;;
638;Poste;08.1.3.2;08.1.3.2.2;Consumable components for peripheral equipment;Composants consommables pour équipements périphériques;;;— toner and ink cartridges, laser printer drums, typewriter ribbons;— cartouches de toner et d'encre, tambours d'imprimantes laser, rubans de machines à écrire;;;;;;;
